epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,9853.66,1.1991,0.85529,1.24175,0.79773,0.72042,0.79239,0.47043,1.19091,0.98402,1.15801,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,10023.8,1.20223,0.85602,1.24406,0.7987,0.71906,0.79282,0.47144,1.18984,0.97163,1.15939,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,10192.1,1.18383,0.83758,1.23252,0.81001,0.71622,0.79471,0.47237,1.18906,0.9507,1.15929,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,10360.9,1.18569,0.84423,1.23151,0.8012,0.72145,0.79409,0.47226,1.18816,0.95233,1.15909,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,10529.1,1.17183,0.82838,1.22583,0.80237,0.71994,0.79376,0.47186,1.18908,0.94512,1.16031,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,10697.1,1.17578,0.8264,1.22573,0.80843,0.7187,0.79531,0.47148,1.18923,0.93583,1.16082,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,10865.8,1.16704,0.81876,1.22149,0.81422,0.71601,0.79459,0.47083,1.18923,0.92762,1.16187,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,11033.3,1.17089,0.8156,1.21783,0.80881,0.71767,0.794,0.4699,1.19035,0.92325,1.16418,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,11201.3,1.1589,0.80224,1.21387,0.80999,0.71978,0.79457,0.47034,1.19085,0.92294,1.16428,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,11369.5,1.15519,0.79954,1.21465,0.81003,0.71904,0.79453,0.46983,1.19061,0.92599,1.16421,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,11536.8,1.15005,0.79634,1.21058,0.8062,0.72077,0.79469,0.47057,1.18944,0.92457,1.16245,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,11704.5,1.14125,0.7786,1.20157,0.80589,0.72439,0.79644,0.47112,1.1893,0.92361,1.16192,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,11872.6,1.14177,0.78142,1.19532,0.80556,0.72392,0.79638,0.47173,1.18976,0.91716,1.1627,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,12039.8,1.12881,0.77723,1.19562,0.80232,0.72684,0.79662,0.47121,1.19016,0.91651,1.16305,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,12207.3,1.13463,0.76765,1.19154,0.80439,0.72885,0.79707,0.47118,1.19029,0.91539,1.16308,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,12374.7,1.12361,0.76424,1.19112,0.80315,0.72914,0.7971,0.47097,1.19123,0.91654,1.16464,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,12542.8,1.12562,0.76702,1.18819,0.80471,0.73017,0.79591,0.47088,1.19161,0.91447,1.16563,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,12710.6,1.10849,0.74679,1.18142,0.80578,0.72879,0.79666,0.47127,1.19219,0.91443,1.16609,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
